“sample”,”error_0","error_1_e_minus_5","error_1_e_minus_4","error_1_e_minus_3","error_1_e_minus_2","error_1_e_minus_1","error_2_e_minus_1","error_3_e_minus_1","error_4_e_minus_1","error_5_e_minus_1","error_6_e_minus_1","error_7_e_minus_1","error_8_e_minus_1"
"117",36,61,73,67,120,460,800,1315,1908,2434,3735,5515,8819
"118",39,62,59,63,127,409,718,1189,1856,2571,3623,5471,9386
"119",36,73,54,56,142,458,837,1197,1892,2297,3523,5649,9581
"120",41,33,68,65,132,421,735,1231,1725,2383,3831,5322,9605
"121",37,37,51,72,146,408,835,1149,1792,2503,3606,5382,9205
"122",38,37,57,75,150,449,785,1191,1765,2405,3655,5653,8805
"123",39,41,63,78,115,378,854,1341,1745,2399,3545,5536,9272
"124",35,46,65,75,102,453,807,1206,1721,2365,3702,5591,9269
"125",51,59,65,58,102,384,817,1102,1683,2336,3879,5830,9443
"126",36,41,25,63,102,443,743,1293,1702,2349,3670,5247,9607
"127",35,61,28,72,105,418,851,1222,1937,2488,3706,5518,9034
"128",40,54,40,61,122,393,764,1133,1789,2312,3563,5505,9310
"129",27,41,40,64,136,474,794,1053,1893,2322,3847,5879,9099
"130",27,38,53,74,113,388,757,1113,1929,2514,3717,5403,9447
"131",30,40,65,74,101,399,758,1166,1754,2421,3651,5492,8986
"132",27,51,65,91,106,388,791,1262,1825,2640,3994,5642,9150
"133",34,54,61,83,120,406,766,1199,1850,2360,3894,5799,9194
"134",35,59,50,52,116,431,825,1145,1774,2474,3521,5246,9556
"135",32,70,61,64,108,405,768,1157,1689,2360,3756,5416,9439
"136",31,29,71,69,132,390,852,1255,1663,2400,3769,5599,9217
"137",32,32,69,49,144,498,860,1233,1843,2321,3701,5649,9673
"138",36,35,69,58,103,476,731,1323,1601,2308,3762,5544,8903
"139",36,33,66,70,115,428,739,1194,1760,2413,3905,5605,9001
"140",37,32,66,77,137,422,677,1158,1758,2582,3759,6157,9456
"141",34,38,53,61,141,438,836,1210,1839,2401,3639,5490,9100
"142",35,49,59,59,161,387,753,1164,1617,2426,3691,5750,9569
"143",36,54,64,64,138,468,775,1191,1641,2429,3636,5604,9653
"144",37,57,60,63,121,492,824,1146,1719,2362,3522,5821,9257
"145",36,61,51,79,105,425,763,1132,1717,2398,3718,5512,9415
"146",39,60,46,63,126,451,812,1305,1626,2472,3548,5324,9417
"147",40,73,64,82,125,376,795,1281,1615,2302,3738,5743,8902
"148",62,33,57,72,102,371,755,1148,1778,2315,3724,5517,9131
"149",33,32,66,88,128,448,834,1194,1742,2512,3515,6177,9273
"150",35,34,74,74,132,434,744,1159,1713,2195,3734,5497,9195
"151",29,37,67,93,115,459,715,1254,1664,2493,3675,5431,9037
"152",25,44,45,55,128,382,722,1157,1578,2413,3713,5694,9027
"153",30,52,61,54,126,427,768,1212,1693,2234,3554,5454,9081
"154",25,71,49,59,109,492,809,1145,1737,2362,4086,6007,8808
"155",26,59,47,75,115,376,843,1149,1807,2568,4091,5452,9818
"156",35,63,49,76,143,407,803,1134,1785,2495,3572,5584,9208
"157",29,67,63,62,127,360,851,1190,1791,2487,3591,5907,9505
"158",30,51,70,61,87,385,813,1140,1701,2375,3675,5691,9210
"159",36,66,59,64,85,467,787,1166,1761,2312,3970,5543,8883
"160",32,57,70,68,81,468,740,1231,1752,2257,3934,5454,8990
"161",33,57,68,68,112,402,723,1197,1736,2396,3547,5253,9839
"162",37,60,45,75,103,415,769,1211,1927,2462,4126,5273,9691
"163",35,52,49,83,107,427,782,1136,1798,2223,4110,5244,8909
"164",38,37,61,74,143,419,904,1170,1808,2250,3667,5634,9907
"165",34,40,46,70,102,460,817,1144,1833,2516,3628,5344,8869
"166",43,65,43,71,104,497,736,1343,1965,2368,3588,5114,9177
"167",35,47,58,70,94,419,709,1182,1663,2396,3503,5500,9732
"168",43,42,74,74,117,364,739,1292,1767,2366,3710,5867,9613
"169",40,48,75,85,116,415,758,1264,1702,2393,3612,5503,9547
"170",36,46,74,51,106,423,801,1236,1695,2415,3767,5741,9647
"171",27,51,87,64,110,416,850,1189,1774,2245,3841,5591,9154
"172",31,72,62,49,133,417,798,1367,1942,2483,3709,5634,8818
"173",31,70,51,53,118,444,836,1218,1746,2437,3477,5338,9329
"174",34,33,63,62,100,409,751,1234,1729,2241,3696,6221,9418
"175",29,42,46,60,108,443,843,1212,1816,2254,3588,5604,9286
"176",34,38,69,67,116,411,836,1348,1603,2196,3774,5399,8907
"177",36,44,70,66,120,400,788,1281,1664,2301,3778,5566,10085
"178",36,49,53,67,117,448,742,1316,1931,2611,3596,5568,9023
"179",34,50,63,63,126,452,749,1231,1700,2290,3587,5589,9355
"180",33,53,58,69,121,432,842,1185,1678,2351,3866,5427,9537
"181",37,47,77,81,100,416,710,1132,1741,2201,3979,5853,9572
